area;location;price;rooms;square_price;source;title
49;Opština Zemun , Zemunske kapije;112700;2.5;2300;halooglasi;Zemun Skopljanska 2.5 112700
63;Opština Stari grad , Bajlonijeva pijaca , Dobračina;210000;2.0;3333;halooglasi;Centar,Skadarlija,Parking ID#1333
70;Opština Zemun , Save Kovačevića , Garibaldijeva;182000;3.0;2600;halooglasi;Zemun, ul. Garibaldijeva, 3-soban, 70m2
86;Opština Novi Beograd , Blok 38 , Bulevar Arsenija Čarnojevića;220000;3.5;2558;halooglasi;Blok 38, Dvostran, 86m2, 3,5 soban, 8/9, 2 mč
64;Opština Mladenovac , Mladenovac (mesto) , Crkvena;59000;3.0;922;halooglasi;Renoviran 3-soban stan - Tozino voće (Mladenovac)
45;Opština Voždovac , Banjica , Paunova;117000;2.0;2600;halooglasi;2.0 stan u kompleksu Paunov breg
74;Opština Voždovac , Banjica , Bulevar oslobođenja;150000;3.0;2027;halooglasi;Banjica - adaptibilan u 3.5 - 1% provizija
64;Opština Novi Beograd , Blok 61 , Jurija Gagarina;137000;2.5;2141;halooglasi;Odličan stan u Jurija Gagarina blok 61
60;Opština Novi Beograd , Blok 28 , Milutina Milankovića;167000;2.0;2783;halooglasi;2.0 Novi Beograd, Blok 28, Milutina Milankovića
85;Opština Voždovac , Naselje Stepa Stepanović , 2. srpske armije;235000;2.5;2765;halooglasi;Naselje Stepa Stepanovic
61;Opština Palilula , Tašmajdan , Kneza Danila;290000;2.0;4754;halooglasi;Lux 2.0 stan, Central garden ID#122726
87;Opština Voždovac , Lekino brdo , Strumička;308850;3.5;3550;halooglasi;Strumička br.72, Park view, 87m2
53;Opština Voždovac , Lekino brdo , Strumička;190800;1.5;3600;halooglasi;Strumička br.72, 53m2 Park view, novogradnja
90;Opština Stari grad , Skupština , Palmotićeva;290000;3.5;3222;halooglasi;Skupština, Palmotićeva, 90m2 sa dvorištem ID#7569
39;Opština Novi Beograd , Blok 70a , Dr Agostina Neta;117900;1.0;3023;halooglasi;Stan na top lokaciji ID#128744
56;Opština Novi Beograd , Ledine , Vojvođanska;95200;3.0;1700;halooglasi;3.0 stan Ledine, novogradnja ID#125782
56;Opština Voždovac , Jajinci , Umetnička 1. prilaz;111000;3.0;1986;halooglasi;Sunny Hill Jajinci - Stambeni kompleks u izgradnji
36;Opština Voždovac , Jajinci , Umetnička 1. prilaz;70300;1.5;1980;halooglasi;Sunny Hill Jajinci - Stambeni kompleks u izgradnji
27;Opština Voždovac , Jajinci , Umetnička 1. prilaz;53000;1.0;2000;halooglasi;Sunny Hill Jajinci - Stambeni kompleks u izgradnji
65;Opština Voždovac , Jajinci , Umetnička 1. prilaz;128500;3.0;2000;halooglasi;Sunny hill kompleks
44;Opština Voždovac , Jajinci , Umetnička 1. prilaz;85500;2.0;1981;halooglasi;Sunny hill kompleks
160;Opština Voždovac , Farmaceutski fakultet , Hajduk Stojka;185000;4.0;1156;halooglasi;Voždovac, lux tek završen stan, dupleks, ID 20944
100;Opština Zvezdara , Đeram pijaca , Pećska;300000;3.0;3000;halooglasi;Đeram pijaca, lux, novogradnja, garaža, ID 21474
104;Opština Novi Beograd , Blok 67a (A blok) , Uroša Matrinvoića;426400;4.0;4100;halooglasi;A blok, lux, komforan, garaža, ID 20920
57;Opština Savski venac , Humska , Gornjačka;192460;2.0;3376;halooglasi;Savski venac, odlična ponuda, ID 22249
83;Opština Vračar , Južni bulevar , Sime Igumanova;259000;3.0;3120;halooglasi;Vračar, lux stan sa saunom, ID 22230
